"","control","instnm","ccbasic","stabbr","death_yr2_rt","lo_inc_death_yr2_rt","md_inc_death_yr2_rt","hi_inc_death_yr2_rt","death_yr3_rt","lo_inc_death_yr3_rt","md_inc_death_yr3_rt","hi_inc_death_yr3_rt","death_yr4_rt","lo_inc_death_yr4_rt","md_inc_death_yr4_rt","hi_inc_death_yr4_rt","death_yr6_rt","lo_inc_death_yr6_rt","md_inc_death_yr6_rt","hi_inc_death_yr6_rt","death_yr8_rt","lo_inc_death_yr8_rt","md_inc_death_yr8_rt","hi_inc_death_yr8_rt","year"
"33",1,"Indiana University-Bloomington",15,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002417705,NA,NA,NA,"latest"
"34",1,"Louisiana State University and Agricultural & Mechanical College",15,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"35",1,"Louisiana Tech University",16,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"36",2,"Hampton University",16,"VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"37",1,"University of Washington-Seattle Campus",15,"WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210118,NA,NA,NA,NA,NA,NA,NA,"latest"
"38",1,"Marshall University",16,"WV",NA,NA,NA,NA,NA,NA,NA,NA,0.004327131,NA,NA,NA,NA,NA,NA,NA,0.006091371,NA,NA,NA,"latest"
"39",1,"West Virginia University",15,"WV",NA,NA,NA,NA,0.002029146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003923034,NA,NA,NA,"latest"
"40",1,"The University of Alabama",15,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003662165,NA,NA,NA,0.004593353,NA,NA,NA,"latest"
"41",1,"University of Alaska Fairbanks",16,"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"42",1,"University of South Alabama",16,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007853403,0.007633588,NA,NA,"latest"
"43",1,"University of Arkansas",15,"AR",NA,NA,NA,NA,0.003896465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004418262,NA,NA,NA,"latest"
"44",1,"University of California-Riverside",15,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"45",2,"Claremont Graduate University",16,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"46",1,"University of California-Davis",15,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002887606,NA,NA,NA,"latest"
"47",1,"Clemson University",15,"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00448833,NA,NA,NA,"latest"
"48",1,"East Tennessee State University",16,"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005034857,NA,NA,NA,"latest"
"49",1,"Tennessee State University",16,"TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"50",2,"Texas Christian University",16,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"51",1,"The University of Texas Rio Grande Valley",16,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"52",2,"Brigham Young University-Provo",16,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"53",2,"Marquette University",16,"WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"54",2,"University of New England",16,"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"55",2,"Clark University",16,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"56",2,"Harvard University",15,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"57",2,"Worcester Polytechnic Institute",16,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"58",1,"University of Massachusetts-Dartmouth",16,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
